# M_main, z_main, v_vir
1.000000000000000000e+13 0.000000000000000000e+00 2.715261229886511956e+02
9.995464780372695312e+12 1.880741771257460251e-03 2.716575217909399953e+02
9.990929596573494141e+12 3.759417493769579184e-03 2.717886767563963417e+02
9.986394448659257812e+12 5.636047709116793862e-03 2.719195893680085874e+02
9.981859336700099609e+12 7.510652702122111793e-03 2.720502610898242324e+02
9.977324260750705078e+12 9.383252517116753844e-03 2.721806933681064038e+02
9.972789220874601562e+12 1.125386695207669825e-02 2.723108876309430002e+02
9.968254217135330078e+12 1.312251556703543723e-02 2.724408452888663987e+02
9.963719249596447266e+12 1.498921768796952943e-02 2.725705677351398890e+02
9.959184318319316406e+12 1.685399241207057724e-02 2.727000563461515981e+02
9.954649423376345703e+12 1.871685860625266554e-02 2.728293124813317263e+02
9.950114564820111328e+12 2.057783492352932217e-02 2.729583374843053321e+02
9.945579742716435547e+12 2.243693979362598040e-02 2.730871326822698393e+02
9.941044957124542969e+12 2.429419143476889420e-02 2.732156993868305221e+02
9.936510208112490234e+12 2.614960785088049633e-02 2.733440388938234378e+02
9.931975495739533203e+12 2.800320684254139006e-02 2.734721524840973075e+02
9.927440820069349609e+12 2.985500600533301518e-02 2.736000414234233631e+02
9.922906181165636719e+12 3.170502273460123338e-02 2.737277069628335653e+02
9.918371579094308594e+12 3.355327422816327398e-02 2.738551503388314927e+02
9.913837013912480469e+12 3.539977749423332126e-02 2.739823727739610035e+02
9.909302485690503906e+12 3.724454934555786884e-02 2.741093754764173696e+02
9.904767994489935547e+12 3.908760641140614916e-02 2.742361596408887863e+02
9.900233540374548828e+12 4.092896513624137700e-02 2.743627264484830448e+02
9.895699123401527344e+12 4.276864178659058047e-02 2.744890770672239455e+02
9.891164743643486328e+12 4.460665244469369517e-02 2.746152126516230396e+02
9.886630401162044922e+12 4.644301302231856887e-02 2.747411343436500601e+02
9.882096096018839844e+12 4.827773925904398772e-02 2.748668432726286142e+02
9.877561828275523438e+12 5.011084672513119870e-02 2.749923405554517899e+02
9.873027598002570312e+12 5.194235082057185177e-02 2.751176272965299177e+02
9.868493405261667969e+12 5.377226678518038511e-02 2.752427045885046368e+02
9.863959250112314453e+12 5.560060969790860813e-02 2.753675735122016590e+02
9.859425132625035156e+12 5.742739447464530189e-02 2.754922351365096347e+02
9.854891052861564453e+12 5.925263587845980978e-02 2.756166905190883085e+02
9.850357010890255859e+12 6.107634851608499671e-02 2.757409407061485354e+02
9.845823006770675781e+12 6.289854684608159330e-02 2.758649867330125858e+02
9.841289040566810547e+12 6.471924517628291351e-02 2.759888296239635679e+02
9.836755112344863281e+12 6.653845766680618889e-02 2.761124703924597839e+02
9.832221222168851562e+12 6.835619833417827529e-02 2.762359100414312820e+02
9.827687370105009766e+12 7.017248105156630167e-02 2.763591495633034469e+02
9.823153556217392578e+12 7.198731955308237951e-02 2.764821899403111161e+02
9.818619780576666016e+12 7.380072743204428576e-02 2.766050321443854045e+02
9.803819260845234375e+12 7.561271815023443144e-02 2.766311460182587325e+02
9.799285649022126953e+12 7.742524209485059095e-02 2.767536847442225962e+02
9.794752075784074219e+12 7.923637233530046731e-02 2.768760278007421221e+02
9.778233898448441406e+12 8.104612197633900839e-02 2.768851013677449373e+02
9.773700505244679688e+12 8.285676797358888790e-02 2.770071607673760354e+02
9.769167151001041016e+12 8.466605570409806159e-02 2.771290268679661040e+02
9.764633835770808594e+12 8.647399794670321271e-02 2.772507005809250700e+02
9.760100559635853516e+12 8.828060734564124878e-02 2.773721828078881231e+02
9.755567322651693359e+12 9.008589643391902435e-02 2.774934744422917561e+02
9.751034124887048828e+12 9.188987761937345011e-02 2.776145763684479562e+02
9.746500966412853516e+12 9.369256319066589234e-02 2.777354894619552965e+02
9.741967847291271484e+12 9.549396532341271338e-02 2.778562145901224198e+02
9.737434767588875000e+12 9.729409607700405249e-02 2.779767526117736907e+02
9.732901727370060547e+12 9.909296739821160660e-02 2.780971043774859481e+02
9.728368726712421875e+12 1.008905911172595510e-01 2.782172707293497638e+02
9.723835765669406250e+12 1.026869789639273250e-01 2.783372525020483295e+02
9.719302844316445312e+12 1.044821425507263535e-01 2.784570505217413370e+02
9.714769962707023438e+12 1.062760933924123130e-01 2.785766656073915328e+02
9.710237120923195312e+12 1.080688428867124240e-01 2.786960985694695978e+02
9.705704319027267578e+12 1.098604023355795600e-01 2.788153502113973445e+02
9.701171557088152344e+12 1.116507829355428000e-01 2.789344213288974856e+02
9.696638835163802734e+12 1.134399957869742653e-01 2.790533127106407960e+02
9.692106153336337891e+12 1.152280518807752008e-01 2.791720251373504311e+02
9.687573511659357422e+12 1.170149621208689816e-01 2.792905593833129387e+02
9.683040910206236328e+12 1.188007373065363970e-01 2.794089162152151289e+02
9.678508349045976562e+12 1.205853881432478042e-01 2.795270963928712717e+02
9.673975828243208984e+12 1.223689252439933983e-01 2.796451006693206978e+02
9.669443347864777344e+12 1.241513591277789708e-01 2.797629297907312775e+02
9.664910907979736328e+12 1.259327002210368363e-01 2.798805844965056053e+02
9.660378508659357422e+12 1.277129588588750142e-01 2.799980655193721191e+02
9.655846149966150391e+12 1.294921452906597215e-01 2.801153735857630522e+02
9.651313831973613281e+12 1.312702696733344387e-01 2.802325094153789564e+02
9.646781554742101562e+12 1.330473420819095476e-01 2.803494737218838964e+02
9.642249318342958984e+12 1.348233725014987006e-01 2.804662672123976108e+02
9.637717122851929688e+12 1.365983708308341205e-01 2.805828905877301054e+02
9.633184968333814453e+12 1.383723468893830466e-01 2.806993445428567497e+02
9.628652854849044922e+12 1.401453104158560947e-01 2.808156297668267598e+02
9.624120782480000000e+12 1.419172710590551056e-01 2.809317469421723672e+02
9.609518523962429688e+12 1.436882383988079548e-01 2.809495912922081970e+02
9.604986625900158203e+12 1.454601144648053346e-01 2.810654595313078516e+02
9.600454769307128906e+12 1.472310139627652781e-01 2.811811614346552801e+02
9.595922954252683594e+12 1.490009462617180591e-01 2.812966976639569339e+02
9.591391180799605469e+12 1.507699206567748029e-01 2.814120688754856019e+02
9.586859449021656250e+12 1.525379463630092136e-01 2.815272757196821090e+02
9.582327758983849609e+12 1.543050325245459431e-01 2.816423188417655297e+02
9.577796110762177734e+12 1.560711882074108658e-01 2.817571988812639461e+02
9.573264504419501953e+12 1.578364224098892099e-01 2.818719164726962276e+02
9.568732940031851562e+12 1.596007440535348043e-01 2.819864722450020622e+02
9.564201417659937500e+12 1.613641619948173733e-01 2.821008668222964388e+02
9.559669937375447266e+12 1.631266850157984671e-01 2.822151008232713139e+02
9.555138499261035156e+12 1.648883218254035554e-01 2.823291748612952006e+02
9.550607103370902344e+12 1.666490810750751728e-01 2.824430895454195252e+02
9.546075749789933594e+12 1.684089713368922825e-01 2.825568454789746511e+02
9.541544438578941406e+12 1.701680011257776515e-01 2.826704432610155777e+02
9.537013169803138672e+12 1.719261788890596998e-01 2.827838834856472658e+02
9.532481943538705078e+12 1.736835130046639752e-01 2.828971667419127130e+02
9.527950759857464844e+12 1.754400117881894094e-01 2.830102936142645831e+02
9.523419618824689453e+12 1.771956834943523573e-01 2.831232646826581458e+02
9.518888520514431641e+12 1.789505363116193071e-01 2.832360805222071463e+02
9.514357464998570312e+12 1.807045783674522954e-01 2.833487417035332214e+02
9.509826452346820312e+12 1.824578177291419079e-01 2.834612487928269502e+02
9.505295482633289062e+12 1.842102624016363488e-01 2.835736023517053468e+02
9.500764555927728516e+12 1.859619203319668457e-01 2.836858029375086971e+02
9.496233672288968750e+12 1.877127994122965993e-01 2.837978511034958160e+02
9.491702831804310547e+12 1.894629074656635215e-01 2.839097473979442725e+02
9.487172034539191406e+12 1.912122522657893620e-01 2.840214923654144172e+02
9.482641280561257812e+12 1.929608415286095113e-01 2.841330865462168163e+02
9.478110569946925781e+12 1.947086829105454386e-01 2.842445304763101035e+02
9.473579902759507812e+12 1.964557840173670189e-01 2.843558246878662317e+02
9.469049279077650391e+12 1.982021523939360153e-01 2.844669697086226847e+02
9.464518698973455078e+12 1.999477955334247048e-01 2.845779660624791063e+02
9.459988162510298828e+12 2.016927208785585235e-01 2.846888142695746069e+02
9.455457669775634766e+12 2.034369358098897518e-01 2.847995148455553363e+02
9.450927220824134766e+12 2.051804476680040012e-01 2.849100683029815286e+02
9.446396815738917969e+12 2.069232637306701039e-01 2.850204751498853852e+02
9.441866454585630859e+12 2.086653912312622372e-01 2.851307358909479035e+02
9.437336137436501953e+12 2.104068373497654243e-01 2.852408510269252702e+02
9.432805864368152344e+12 2.121476092143982084e-01 2.853508210547618660e+02
9.428275635455037109e+12 2.138877139049644438e-01 2.854606464678134330e+02
9.423745450758517578e+12 2.156271584568840438e-01 2.855703277560870106e+02
9.419215310357464844e+12 2.173659498507671539e-01 2.856798654056074724e+02
9.349955150394197266e+12 2.191040950192083281e-01 2.851327778207424899e+02
9.345425741861085938e+12 2.208538558672297203e-01 2.852425596797085632e+02
9.340896378891437500e+12 2.226029746787119568e-01 2.853521976312326842e+02
9.336367061553595703e+12 2.243514583953551411e-01 2.854616921567115355e+02
9.331837789931203125e+12 2.260993139056928225e-01 2.855710437336682048e+02
9.327308564090466797e+12 2.278465480586253367e-01 2.856802528366133060e+02
9.322779384110707031e+12 2.295931676518088715e-01 2.857893199363142571e+02
9.318250250069087891e+12 2.313391794381866318e-01 2.858982455002113170e+02
9.313721162038429688e+12 2.330845901274992971e-01 2.860070299925204722e+02
9.309192120089392578e+12 2.348294063855109470e-01 2.861156738741773893e+02
9.304663124299208984e+12 2.365736348315600757e-01 2.862241776027007063e+02
9.300134174745126953e+12 2.383172820413722026e-01 2.863325416323663717e+02
9.295605271493517578e+12 2.400603545517746296e-01 2.864407664145054468e+02
9.291076414628218750e+12 2.418028588502009468e-01 2.865488523968550112e+02
9.286547604226548828e+12 2.435448013844142834e-01 2.866568000241670688e+02
9.282018840359306641e+12 2.452861885629517846e-01 2.867646097382391304e+02
9.277490123095136719e+12 2.470270267539846076e-01 2.868722819778493545e+02
9.272961452520146484e+12 2.487673222780820148e-01 2.869798171783098724e+02
