# M_sub, z_sub
4.904350336478675842e+10 5.921956913128609973e-03
1.065778071958678436e+10 1.364391886983317217e-02
1.104166963172611427e+10 2.103693346912725165e-02
1.733824199194055939e+10 3.305455864900240515e-02
2.021135346468750381e+10 3.634878055108274608e-02
2.860511210055517960e+10 4.277557429638876446e-02
4.844291199359551239e+10 4.546156377097549522e-02
4.094401564658349121e+12 5.543937232600461285e-02
7.133883603820590210e+10 6.509183282921933433e-02
4.552427744395417023e+10 6.524734735139282871e-02
1.195573996535092545e+10 6.758223975357074975e-02
1.380059724924600220e+10 7.286820141910409221e-02
1.755013420503124237e+10 7.705942344803394517e-02
4.581267806413853455e+10 7.752480139480223686e-02
2.322798698281785202e+10 8.821467666668551810e-02
2.037909189343217087e+10 9.285188000391478291e-02
1.425321094461300659e+10 9.424200753773412376e-02
1.622130576286807861e+12 9.825527396160264881e-02
2.710217467691008377e+10 1.024997096283327552e-01
1.020975095400634003e+10 1.231961169695103969e-01
2.625817863011207886e+11 1.255406731975250989e-01
2.862064028798023987e+10 1.302406094768571998e-01
2.116875754067627716e+10 1.372831309277623146e-01
3.348100447054613037e+11 1.457202852183457353e-01
1.964117929792134857e+10 1.483837017344776243e-01
1.414006407485942650e+10 1.486970552790518318e-01
3.298879978220656586e+10 1.518302911719357773e-01
5.155325915325728607e+10 1.524568763739866939e-01
2.777132318427811813e+10 1.585661187556984264e-01
2.045464834649610519e+10 1.598187044619801267e-01
1.057386869568153763e+10 1.677985931986392398e-01
1.198211458038386917e+10 1.687366535111005372e-01
3.146236880256817871e+12 1.869981589812188538e-01
1.040748019329005241e+10 1.874789088928580094e-01
1.613728521349132538e+10 1.905652601314344330e-01
1.623946781720792770e+10 1.990057128514262919e-01
1.031724480235621452e+10 2.003034613057084190e-01
1.149588022510577202e+10 2.072754781269701974e-01
1.475273626393797874e+10 2.174788291051895084e-01
1.501749951184296989e+10 2.178025370712753095e-01
3.848328269505786896e+10 2.220107035323648226e-01
1.197317876045732689e+10 2.247623147853799741e-01
1.398290631113683701e+10 2.297784254696581263e-01
2.028518691724401474e+10 2.360858772183775101e-01
1.745105481675410080e+10 2.401277983647948089e-01
1.181057515120989037e+10 2.406127897721382913e-01
6.730151602939575195e+10 2.441694531444577598e-01
4.769766616929151154e+10 2.467575500833826263e-01
1.814609475603800964e+11 2.530676243560432415e-01
1.089933598480899811e+10 2.537158261714808627e-01
2.225596442204756927e+10 2.571208718999249410e-01
1.172081556927591324e+10 2.590667040844686353e-01
2.913890726825100327e+10 2.658757966678090279e-01
4.818458779884498291e+11 2.665242810524577899e-01
4.556941132225134277e+10 2.717454775781696918e-01
3.220971017402221298e+10 2.800695920019660168e-01
1.423254528969600868e+10 2.831709098782065892e-01
1.109413913914087296e+10 2.833341241446533099e-01
3.410534062957051849e+10 3.113961733575782431e-01
5.645270464164385223e+10 3.128642517298037551e-01
1.096044580705628586e+10 3.224948838234824033e-01
4.071930985154998016e+10 3.254330571151519691e-01
2.284745352770385742e+10 3.321288239431918199e-01
4.718012803541027832e+11 3.349058181629999686e-01
1.118683975539885712e+10 3.406609241848942982e-01
4.531977024266426849e+10 3.600702623505995792e-01
1.036806479425957794e+11 3.603993619668012238e-01
1.522025119729742622e+10 3.610585302493274917e-01
1.852169169318084335e+10 3.653458007625308701e-01
2.457611856734880066e+10 3.775532249991548905e-01
7.612139171689329529e+10 3.778832636074738183e-01
1.166544324958542442e+10 3.841625521602646254e-01
4.209231264630629730e+10 3.859808032156845647e-01
8.840898581993110657e+10 3.901161377590269264e-01
1.484647507252877235e+10 3.916067764691217867e-01
2.179265349225496292e+10 3.927666067846858344e-01
1.970558137772903748e+11 3.929323062530200583e-01
1.101358250156956177e+11 3.965893362740811612e-01
1.726116463595251083e+10 3.967555999156570645e-01
1.256741945836737442e+10 3.982548214651841501e-01
4.819442489583415985e+10 4.144232412281360078e-01
2.546280882593956375e+10 4.160919476528063266e-01
6.059027696184449005e+10 4.257780180303347151e-01
1.903730877301495743e+10 4.292895669615055532e-01
2.550342650536797333e+10 4.299586990072241099e-01
1.677391984515197182e+10 4.405064028310270441e-01
1.578890997569028854e+10 4.448629016163979655e-01
1.335539719797465324e+10 4.465392478879673388e-01
1.249801195346481476e+11 4.482161634354141500e-01
2.629906758436264038e+10 4.551068235604960877e-01
3.243661154440305710e+10 4.571251946817007639e-01
3.395635165598850632e+10 4.662170495018536642e-01
1.621311121832434387e+11 4.663854897475058769e-01
1.043900880627502060e+10 4.750049840738582718e-01
2.582820135171169281e+10 4.761888370515793834e-01
2.266738147975439453e+10 4.849912650928056013e-01
2.320512394503260803e+10 4.932962600927774388e-01
1.544306371986623573e+10 4.999141823095906156e-01
1.943364746042048645e+10 5.041601013313329327e-01
5.227769157829221344e+10 5.101097768333876514e-01
1.245241184630600128e+11 5.119819618785964588e-01
8.886043310362891846e+11 5.182949067186308767e-01
6.169709842236348877e+11 5.188118297146934177e-01
1.181669675349909019e+10 5.336845504678079388e-01
5.886357793291654205e+10 5.380657789123607371e-01
1.983412716795976639e+10 5.391185039238278742e-01
1.934049423114019775e+10 5.405229899645735969e-01
3.631857079626093292e+10 5.457940662401199461e-01
1.031502216826704597e+10 5.508961330190434991e-01
2.225187908892122269e+10 5.686986615772234854e-01
2.483865202339964676e+10 5.692283132703559456e-01
1.740486991392860794e+10 5.697582155177242091e-01
1.216098984538269997e+10 5.722326566316675578e-01
2.994915734163788223e+10 5.757699769288802116e-01
2.575234995493728638e+10 5.775401769912072991e-01
4.188572201613265137e+12 5.904839946430719966e-01
1.418534731895175743e+10 6.030605457880100495e-01
3.769907254162030640e+11 6.034425119439562613e-01
4.887971113675268555e+10 6.144117197998200108e-01
2.901389483166355896e+10 6.155685579546649189e-01
1.893250153882463837e+10 6.207805870820339855e-01
2.062496667707453918e+10 6.428491088673471410e-01
4.104151628366688538e+10 6.463431336074916267e-01
1.148295042296504402e+10 6.473146995951920557e-01
1.391250235534015656e+10 6.535391683028594079e-01
1.584036678256619263e+11 6.554863005763210682e-01
2.238525011592796326e+10 6.572438480542188710e-01
2.003758156816866684e+10 6.593942519162383498e-01
1.130214009363059692e+11 6.656575797326736987e-01
5.173826492029567719e+10 6.658534362050956279e-01
7.156386839376196289e+11 6.784417115901397732e-01
1.354878979850545502e+10 6.822319716561078273e-01
